Feb 27 14:35:43 imap-login: Info: Login: user=<b3BINE1uajVmR3ZKcwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21446, session=<AEufBoufauysEgAI>
Feb 27 14:35:43 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21448, session=</cWfBoufcuysEgAI>
Feb 27 14:35:44 imap-login: Info: Login: user=<cXY3U3Fsd3JDN29SSQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21452, session=<7mqlBouffOysEgAI>
Feb 27 14:35:44 imap-login: Info: Login: user=<VEp5ZE16NlRUWDY0UQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21454, session=<YwinBoufhOysEgAI>
Feb 27 14:35:44 imap-login: Info: Login: user=<Y2dSd3pUbTVtM2hzawo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21456, session=<fAesBoufjuysEgAI>
Feb 27 14:35:45 imap-login: Info: Login: user=<dWlZRlBzN1hYMGN5cwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21458, session=<GJCzBoufluysEgAI>
Feb 27 14:35:45 imap-login: Info: Login: user=<YWR5NmZ3ancxNjcyZwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21462, session=<96q6BoufnuysEgAI>
Feb 27 14:35:46 imap-login: Info: Login: user=<a25nUlN5WUpScFpURQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21467, session=<LKbABoufruysEgAI>
Feb 27 14:35:46 imap-login: Info: Login: user=<NmRvaHpXalpQQ3M0RQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21472, session=<QwjHBoufuuysEgAI>
Feb 27 14:35:46 imap-login: Info: Login: user=<em1wUkE2UThPQlpoYwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21474, session=<6EbIBoufwuysEgAI>
Feb 27 14:35:47 imap-login: Info: Login: user=<dVFxd3cvY2VOLnU1Mgo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21479, session=<y/naBouf0uysEgAI>
Feb 27 14:35:47 imap-login: Info: Login: user=<eGlwS094Mm5GSmhCcwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21482, session=<cV3cBouf3OysEgAI>
Feb 27 14:35:48 imap-login: Info: Login: user=<Z2thU2pLVzBYR3pkbwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21484, session=<GKLeBouf5OysEgAI>
Feb 27 14:35:48 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21487, session=<uPvnBouf7uysEgAI>
Feb 27 14:35:48 imap-login: Info: Login: user=<SU9lVHRuODJZMERuTQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21489, session=<raXrBouf9uysEgAI>
Feb 27 14:35:49 imap-login: Info: Login: user=<SU9lVHRuODJZMERuTQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21492, session=<ELnsBoufAO2sEgAI>
Feb 27 14:35:49 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21494, session=<Me/sBoufCO2sEgAI>
Feb 27 14:35:49 imap-login: Info: Login: user=<ekZyUU4uWE5vbUtTMgo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21495, session=<ey3tBoufCu2sEgAI>
Feb 27 14:35:49 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21498, session=<LsTvBoufFu2sEgAI>
Feb 27 14:35:49 imap-login: Info: Login: user=<qikiQIfv8.7x.>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21500, session=<5R/wBoufHO2sEgAI>
Feb 27 14:35:49 imap-login: Info: Login: user=<M3dySHNvcS5MbUdOYwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21502, session=<vYDyBoufLO2sEgAI>
Feb 27 14:35:49 imap-login: Info: Login: user=<Wm9KeGJycm9ic2lvbwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21504, session=<ywjzBoufMO2sEgAI>
Feb 27 14:35:49 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21506, session=<LOvzBoufOu2sEgAI>
Feb 27 14:35:49 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21509, session=<sc73BoufRO2sEgAI>
Feb 27 14:35:50 imap-login: Info: Login: user=<c0NROHl4N29oSVVFbwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21513, session=<zAL9BoufUu2sEgAI>
Feb 27 14:35:50 imap-login: Info: Login: user=<a25nUlN5WUpScFpURQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21515, session=<bn79BoufWu2sEgAI>
Feb 27 14:35:50 imap-login: Info: Login: user=<Wm9KeGJycm9ic2lvbwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21518, session=<otf/BoufZu2sEgAI>
Feb 27 14:35:50 imap-login: Info: Login: user=<eGlwS094Mm5GSmhCcwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21519, session=<eSYAB4ufaO2sEgAI>
Feb 27 14:35:50 imap-login: Info: Disconnected (auth failed, 1 attempts in 2 secs): user=<cFg5UG1WVS5YOTdlVQo>, method=PLAIN, rip=42.106.46.149, lip=172.18.0.2, session=<bcjnBouf/Fwqai6V>
Feb 27 14:35:50 imap-login: Info: Login: user=<ZsxBkdMmfCiVQ>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21523, session=<DN8EB4ufeO2sEgAI>
Feb 27 14:35:50 imap-login: Info: Login: user=<Wm9KeGJycm9ic2lvbwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21525, session=<7A4FB4uffO2sEgAI>
Feb 27 14:35:50 imap-login: Info: Login: user=<Wm9KeGJycm9ic2lvbwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21526, session=<ijQFB4uffu2sEgAI>
Feb 27 14:35:50 imap-login: Info: Login: user=<M3dySHNvcS5MbUdOYwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21528, session=<N5QIB4ufiu2sEgAI>
Feb 27 14:35:51 imap-login: Info: Login: user=<S0hlelRSc0JLQ01Rdwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21531, session=<3hENB4uflO2sEgAI>
Feb 27 14:35:51 imap-login: Info: Login: user=<ZHc0bHlhcjFTZmp3UQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21535, session=<ASkVB4ufoO2sEgAI>
Feb 27 14:35:51 imap-login: Info: Login: user=<Ui52QjBUTFA5ay5hLgo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21538, session=<8mYVB4ufpu2sEgAI>
Feb 27 14:35:52 imap-login: Info: Login: user=<SU9lVHRuODJZMERuTQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21543, session=<akQgB4ufuO2sEgAI>
Feb 27 14:35:52 imap-login: Info: Login: user=<amhuU05VWVFLQ3FnWQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21545, session=<dHYhB4ufwu2sEgAI>
Feb 27 14:35:52 imap-login: Info: Login: user=<M3dySHNvcS5MbUdOYwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21547, session=<HyYiB4ufyu2sEgAI>
Feb 27 14:35:52 imap-login: Info: Login: user=<SU9lVHRuODJZMERuTQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21550, session=<U78jB4uf2O2sEgAI>
Feb 27 14:35:52 imap-login: Info: Login: user=<SU9lVHRuODJZMERuTQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21551, session=<duAjB4uf3O2sEgAI>
Feb 27 14:35:52 imap-login: Info: Login: user=<cU0udk5ORHZxVGhTdwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21553, session=<g7YmB4uf5u2sEgAI>
Feb 27 14:35:52 imap-login: Info: Login: user=<N3cxaWR6bW1LdTI4dwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21556, session=<x8cnB4uf7u2sEgAI>
Feb 27 14:35:52 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21558, session=<czIpB4uf+O2sEgAI>
Feb 27 14:35:53 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21561, session=<mfYxB4ufBu6sEgAI>
Feb 27 14:35:53 imap-login: Info: Login: user=<7MLL.IWj9irr2>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21563, session=<wrIzB4ufDu6sEgAI>
Feb 27 14:35:54 imap-login: Info: Login: user=<M3dySHNvcS5MbUdOYwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21566, session=<wiw5B4ufGO6sEgAI>
Feb 27 14:35:55 imap-login: Info: Login: user=<amhuU05VWVFLQ3FnWQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21571, session=<WzJIB4ufLO6sEgAI>
Feb 27 14:35:55 imap-login: Info: Login: user=<amhuU05VWVFLQ3FnWQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21573, session=<+f5KB4ufNO6sEgAI>
Feb 27 14:35:55 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21576, session=<M79SB4ufCoCsEgAI>
Feb 27 14:35:55 imap-login: Info: Login: user=<M3dySHNvcS5MbUdOYwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21578, session=<tc1UB4ufEoCsEgAI>
Feb 27 14:35:56 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21584, session=<NRFeB4ufIICsEgAI>
Feb 27 14:35:56 imap-login: Info: Login: user=<M3dySHNvcS5MbUdOYwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21587, session=<o+1jB4ufLoCsEgAI>
Feb 27 14:35:56 imap-login: Info: Login: user=<NVJnaVF0WXJYYWVxLgo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21589, session=<93JkB4ufNoCsEgAI>
Feb 27 14:35:56 imap-login: Info: Login: user=<YVpia0FDQUZGZ3Y5VQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21591, session=<q6VmB4ufQoCsEgAI>
